num_images_per_question,num_correct_edges,num_edges,num_1,num_1_correct,num_0,num_0_correct
4,76,90,14,8,76,65
4,71,90,16,9,74,64
4,78,90,14,7,76,70
4,81,90,12,8,78,69
4,71,90,13,6,77,65
4,69,90,9,2,81,69
4,32,90,11,10,79,35
4,69,90,14,2,76,66
4,63,90,14,7,76,57
4,53,90,11,2,79,53
4,53,90,15,6,75,52
4,44,90,13,4,77,46
4,83,90,13,9,77,72
4,62,90,24,9,66,54
4,54,90,18,5,72,48
4,53,90,12,5,78,52
4,60,90,15,3,75,59
4,62,90,16,4,74,60
4,68,90,23,10,67,55
4,64,90,14,5,76,60
4,77,90,13,5,77,70
4,54,90,18,4,72,48
4,51,90,14,8,76,49
4,57,90,20,6,70,57
4,69,90,12,5,78,65
4,81,90,13,8,77,70
4,65,90,16,4,74,60
4,57,90,13,3,77,56
4,85,90,11,8,79,75
4,26,90,11,10,79,22
4,60,90,13,4,77,54
4,76,90,18,12,72,60
4,59,90,11,3,79,54
4,61,90,13,1,77,58
4,69,90,12,7,78,63
4,82,90,11,7,79,72
4,66,90,15,7,75,62
4,63,90,15,5,75,60
4,62,90,9,4,81,59
4,42,90,15,4,75,42
4,75,90,8,5,82,68
4,60,90,17,4,73,59
4,74,90,17,9,73,65
4,76,90,19,11,71,63
4,61,90,16,5,74,60
4,41,90,18,8,72,43
4,61,90,21,6,69,55
4,59,90,18,8,72,51
4,57,90,11,3,79,57
4,62,90,14,8,76,52
4,73,90,20,10,70,59
4,61,90,14,4,76,60
4,66,90,23,5,67,63
4,71,90,22,14,68,60
4,78,90,15,10,75,66
4,79,90,15,9,75,69
4,60,90,17,9,73,54
4,78,90,12,6,78,69
4,72,90,15,5,75,68
4,70,90,14,11,76,61
4,84,90,13,8,77,73
4,67,90,14,5,76,61
4,57,90,18,4,72,55
4,63,90,10,6,80,59
4,66,90,13,2,77,64
4,67,90,15,2,75,66
4,27,90,11,8,79,29
4,58,90,23,12,67,54
4,57,90,23,2,67,55
4,56,90,18,9,72,50
4,76,90,12,2,78,75
4,82,90,11,7,79,71
4,42,90,9,7,81,41
4,58,90,20,6,70,53
4,81,90,15,11,75,71
4,61,90,6,2,84,62
4,79,90,12,4,78,72
4,52,90,18,3,72,49
4,75,90,14,4,76,70
4,60,90,18,12,72,48
4,65,90,12,4,78,62
4,69,90,23,14,67,52
4,13,90,13,10,77,16
4,72,90,10,2,80,68
4,75,90,16,3,74,73
4,23,90,23,18,67,10
4,60,90,17,14,73,49
4,78,90,8,2,82,74
4,46,90,13,5,77,42
4,73,90,14,8,76,66
4,57,90,13,2,77,55
4,80,90,19,9,71,66
4,53,90,14,3,76,49
4,69,90,17,2,73,67
4,82,90,8,5,82,75
4,76,90,10,7,80,64
4,74,90,14,5,76,66
4,77,90,13,3,77,68
4,86,90,12,8,78,76
4,57,90,13,4,77,58
4,66,90,12,3,78,64
4,64,90,16,9,74,58
4,63,90,15,4,75,60
4,75,90,17,5,73,71
4,83,90,26,21,64,60
4,79,90,15,7,75,68
4,67,90,12,5,78,60
4,63,90,13,11,77,51
4,67,90,15,6,75,59
4,78,90,15,5,75,74
4,53,90,21,10,69,49
4,66,90,13,4,77,57
4,76,90,13,6,77,69
4,73,90,18,3,72,70
4,84,90,14,12,76,70
4,67,90,18,9,72,56
4,82,90,19,12,71,65
4,52,90,18,5,72,50
4,60,90,13,5,77,56
4,67,90,16,6,74,63
4,67,90,17,13,73,53
4,50,90,19,5,71,50
4,61,90,7,1,83,60
4,57,90,19,5,71,52
4,69,90,16,8,74,62
4,52,90,17,8,73,51
4,82,90,12,8,78,69
4,77,90,12,8,78,68
4,56,90,15,7,75,52
4,79,90,17,12,73,65
4,78,90,15,6,75,69
4,80,90,17,10,73,66
4,83,90,12,8,78,70
4,15,90,15,14,75,18
4,62,90,14,5,76,58
4,70,90,19,11,71,56
4,71,90,18,8,72,62
4,67,90,14,8,76,60
4,74,90,17,4,73,71
4,76,90,14,10,76,62
4,77,90,18,12,72,61
4,60,90,19,1,71,58
4,65,90,19,8,71,54
4,80,90,14,8,76,71
4,43,90,18,10,72,38
4,66,90,12,1,78,61
4,56,90,13,4,77,55
4,45,90,14,6,76,42
4,67,90,26,10,64,58
4,42,90,17,6,73,46
4,68,90,15,2,75,59
4,75,90,14,11,76,64
4,57,90,11,7,79,51
4,67,90,12,2,78,63
4,81,90,14,8,76,70
4,83,90,15,14,75,69
4,69,90,21,9,69,56
4,76,90,19,7,71,64
4,44,90,9,4,81,48
4,65,90,16,6,74,62
4,72,90,16,3,74,68
4,78,90,15,6,75,71
4,53,90,14,9,76,48
4,81,90,22,16,68,65
4,11,90,11,10,79,15
4,83,90,16,8,74,72
4,64,90,18,6,72,62
4,60,90,15,5,75,53
4,76,90,15,4,75,72
4,52,90,16,5,74,47
4,47,90,16,8,74,47
4,76,90,10,5,80,70
4,75,90,13,6,77,69
4,67,90,14,4,76,62
4,77,90,15,6,75,70
4,61,90,17,5,73,56
4,76,90,15,6,75,67
4,71,90,17,5,73,63
4,82,90,13,11,77,70
4,78,90,13,7,77,72
4,79,90,15,13,75,66
4,59,90,21,11,69,48
4,78,90,16,7,74,67
4,19,90,16,15,74,18
4,66,90,13,3,77,58
4,58,90,10,5,80,56
4,78,90,12,4,78,73
4,72,90,21,7,69,57
4,76,90,13,2,77,74
4,76,90,14,5,76,73
4,80,90,10,6,80,73
4,49,90,15,10,75,45
4,62,90,14,7,76,59
4,73,90,15,4,75,67
4,75,90,21,15,69,57
4,67,90,12,4,78,63
4,59,90,26,7,64,56
4,51,90,11,5,79,48
4,72,90,15,9,75,58
4,60,90,15,5,75,57
4,72,90,18,9,72,65
