p,VI,type,num_edge_error,num_edge,edge_error_rate,num_ans_error,ans_error_rate,num_ans
0.7000000000000001,0.23528801566050905,I_6,1121,6735,0.16644394951744618,331,0.7371937639198218,449
0.75,0.6596623596872006,I_2,1666,6728,0.2476218787158145,1666,0.2476218787158145,6728
0.75,0.5664290965558613,I_3,1344,6729,0.1997325011145787,948,0.422648238965671,2243
0.75,0.07466871247312964,I_4,1027,6732,0.15255496137849078,543,0.4839572192513369,1122
0.75,0.16459277026538943,I_5,853,6730,0.12674591381872213,362,0.537890044576523,673
0.75,0.11203640259860567,I_6,706,6735,0.10482553823311061,256,0.5701559020044543,449
0.75,0.7663921479959525,I_2,1721,6728,0.2557966706302021,1721,0.2557966706302021,6728
0.75,0.1924181162498483,I_3,1243,6729,0.18472284143260514,893,0.3981275078020508,2243
0.75,0.3041076730791482,I_4,1136,6732,0.1687462863933452,578,0.5151515151515151,1122
0.75,0.16808650783178533,I_5,888,6730,0.13194650817236256,370,0.549777117384844,673
0.75,0.07470170964469743,I_6,690,6735,0.10244988864142539,263,0.5857461024498887,449
0.75,0.7103989620419525,I_2,1700,6728,0.25267538644470866,1700,0.25267538644470866,6728
0.75,0.2054845207896787,I_3,1333,6729,0.19809778570367068,937,0.41774409273294694,2243
0.75,0.06549275107679946,I_4,1013,6732,0.15047534165181223,545,0.4857397504456328,1122
0.75,0.17736045018251517,I_5,830,6730,0.12332838038632987,366,0.5438335809806835,673
0.75,0.07470204636204081,I_6,743,6735,0.1103192279138827,260,0.579064587973274,449
0.75,0.41868993797511544,I_2,1661,6728,0.24687871581450654,1661,0.24687871581450654,6728
0.75,0.14930241413863143,I_3,1342,6729,0.19943528013077724,922,0.41105662059741416,2243
0.75,0.18657043264671716,I_4,1095,6732,0.1626559714795009,565,0.5035650623885918,1122
0.75,0.18719266573225823,I_5,898,6730,0.13343239227340267,376,0.5586924219910847,673
0.75,0.16801540712215726,I_6,754,6735,0.11195248700816629,268,0.5968819599109132,449
0.75,0.7061938489296279,I_2,1685,6728,0.2504458977407848,1685,0.2504458977407848,6728
0.75,0.39605841093647387,I_3,1307,6729,0.19423391291425174,917,0.40882746321890323,2243
0.75,0.11206906972083022,I_4,1076,6732,0.1598336304218657,567,0.5053475935828877,1122
0.75,0.14927008373375025,I_5,887,6730,0.13179791976225855,367,0.5453194650817236,673
0.75,0.11206906972083021,I_6,706,6735,0.10482553823311061,264,0.5879732739420935,449
0.8,0.5462098699581077,I_2,1587,6728,0.23587990487514862,1587,0.23587990487514862,6728
0.8,0.10292612530393792,I_3,1145,6729,0.17015901322633378,812,0.3620151582701739,2243
0.8,0.1682164747846272,I_4,925,6732,0.13740344622697565,506,0.45098039215686275,1122
0.8,0.03736769012547597,I_5,663,6730,0.09851411589895988,310,0.4606240713224368,673
0.8,0.03736769012547598,I_6,511,6735,0.07587230883444691,225,0.5011135857461024,449
0.8,0.4881614070409502,I_2,1604,6728,0.2384066587395957,1604,0.2384066587395957,6728
0.8,0.32638613101889363,I_3,1161,6729,0.17253678109674542,825,0.36781096745430225,2243
0.8,0.1400614552151955,I_4,943,6732,0.14007724301841948,502,0.4474153297682709,1122
0.8,0.03736769012547598,I_5,632,6730,0.09390787518573551,301,0.4472511144130758,673
0.8,0.03736769012547598,I_6,528,6735,0.07839643652561247,205,0.45657015590200445,449
0.8,0.4066609955464037,I_2,1501,6728,0.2230975029726516,1501,0.2230975029726516,6728
0.8,0.22982222612253092,I_3,1194,6729,0.17744092732946945,840,0.37449843958983503,2243
0.8,0.03736769012547598,I_4,855,6732,0.1270053475935829,488,0.43493761140819964,1122
0.8,0.03736769012547597,I_5,681,6730,0.1011887072808321,308,0.4576523031203566,673
0.8,0.03736769012547597,I_6,475,6735,0.07052709725315516,209,0.46547884187082406,449
0.8,0.3697298044141726,I_2,1520,6728,0.2259215219976219,1520,0.2259215219976219,6728
0.8,0.10279275640028607,I_3,1102,6729,0.16376876207460248,775,0.34551939366919304,2243
0.8,0.14006145521519547,I_4,844,6732,0.12537136066547833,481,0.428698752228164,1122
0.8,0.07470170964469743,I_5,642,6730,0.09539375928677563,308,0.4576523031203566,673
0.8,0.06549275107679946,I_6,540,6735,0.0801781737193764,217,0.48329621380846327,449
0.8,0.37460707407181615,I_2,1580,6728,0.2348394768133175,1580,0.2348394768133175,6728
0.8,0.2018971818406747,I_3,1109,6729,0.16480903551790757,787,0.35086937137761925,2243
0.8,0.12739682927095464,I_4,951,6732,0.1412655971479501,506,0.45098039215686275,1122
0.8,0.03736769012547598,I_5,607,6730,0.09019316493313521,289,0.4294205052005943,673
0.8,0.07470170964469744,I_6,457,6735,0.06785449146250928,194,0.43207126948775054,449
0.8500000000000001,0.5105792772513089,I_2,1454,6728,0.21611177170035673,1454,0.21611177170035673,6728
